src,dest
ATP6V1E2,LAMTOR5
ATP6V1F,LAMTOR1
ATP6V1F,LAMTOR2
ATP6V1F,LAMTOR3
ATP6V1F,LAMTOR4
ATP6V1F,LAMTOR5
ATP6V1G1,LAMTOR1
ATP6V1G1,LAMTOR2
ATP6V1G1,LAMTOR3
ATP6V1G1,LAMTOR4
ATP6V1G1,LAMTOR5
ATP6V1G2,LAMTOR1
ATP6V1G2,LAMTOR2
ATP6V1G2,LAMTOR3
ATP6V1G2,LAMTOR4
ATP6V1G2,LAMTOR5
ATP6V1G3,LAMTOR1
ATP6V1G3,LAMTOR2
ATP6V1G3,LAMTOR3
ATP6V1G3,LAMTOR4
ATP6V1G3,LAMTOR5
ATP6V1H,LAMTOR1
ATP6V1H,LAMTOR2
ATP6V1H,LAMTOR3
ATP6V1H,LAMTOR4
ATP6V1H,LAMTOR5
ATR,CHEK1
ATR,TP53
ATXN1,RBPJ
ATXN1,RBPJL
ATXN1L,RBPJ
ATXN1L,RBPJL
AVP,AGTR1
AVP,AVPR1A
AVP,AVPR1B
AVP,CXCR1
AVP,CXCR2
AVP,F2R
AVP,GRM1
AVP,GRM2
AVP,GRM3
AVP,GRM4
AVP,GRM5
AVP,GRM6
AVP,GRM7
AVP,GRM8
AVP,LPAR1
AVP,LPAR2
AVP,LPAR3
AVP,LPAR5
AVP,LPAR6
AVP,PTGFR
AVPR1A,GNA11
AVPR1A,GNA12
AVPR1A,GNA13
AVPR1A,GNA14
AVPR1A,GNA15
AVPR1A,GNAQ
AVPR1A,GNAS
AVPR1A,PLCB1
AVPR1A,PLCB2
AVPR1A,PLCB3
AVPR1A,PLCB4
AVPR1B,GNA11
AVPR1B,GNA12
AVPR1B,GNA13
AVPR1B,GNA14
AVPR1B,GNA15
AVPR1B,GNAQ
AVPR1B,GNAS
AVPR1B,PLCB1
AVPR1B,PLCB2
AVPR1B,PLCB3
AVPR1B,PLCB4
AXIN1,APC
AXIN1,APC2
AXIN1,AXIN2
AXIN1,CSNK1E
AXIN1,CTNNB1
AXIN1,DVL1
AXIN1,DVL2
AXIN1,DVL3
AXIN1,GSK3B
AXIN1,TCF7
AXIN2,APC
AXIN2,APC2
AXIN2,CSNK1E
AXIN2,CTNNB1
AXIN2,DVL1
