gene_idx,gene_name,degree,log_rna_degree
64,AJUBA,4.2934977000000005e-05,0.00010668940985579486
65,AKT1,2.1209903722973373,3.800304583705292
66,AKT1S1,0.7021862601999995,1.744867307360746
67,AKT2,2.5246195833979983,6.053773364644252
68,AKT3,2.513755549943598,0.0
69,ALDOA,0.02520995569,0.11634698373357806
70,ALDOB,0.0312659506759999,0.0
71,ALDOC,0.02850760826,0.06263761750994502
72,AMH,0.1619623724750399,0.4274279862021306
73,AMHR2,0.0172504134811797,0.0
74,ANAPC5,0.00057682079068,0.0014795161164251217
75,ANGPT1,0.4050007398559995,0.0
76,ANGPT2,0.3037810656451997,0.0
77,ANGPT4,0.4295717834741999,0.0
78,ANGPTL4,0.1694188745351996,0.0
79,AOX1,0.1346240985079997,0.0
80,APAF1,1.4311659000000002e-05,1.9840172169970734e-05
81,APBB1IP,0.08090568981616,0.0
82,APC,0.0133562673049999,0.01851571805053132
83,APC2,0.098076008189,0.0
84,APH1A,0.028746577272,0.10744520849918959
85,APH1B,0.056502813757,0.0
86,APLNR,0.2753649959149995,0.0
87,APOA1,0.08877868308,0.0
88,APOA2,0.0872580998599999,0.0
89,APOA5,0.1637290461799999,0.0
90,APOC3,0.1574632314999998,0.0
91,AQP7,0.18128063234,0.0
92,ARAP3,0.0453481629455999,0.049820049080559876
93,AREG,0.4142571970087192,1.7885505240320148
94,ARF1,0.1016042324389999,0.5795284403364627
95,ARF6,0.03957238168598,0.16697596943616247
96,ARHGDIA,0.011682648455,0.049121945733677765
97,ARHGDIB,0.007961094976,0.0
98,ARHGDIG,0.0043486244,0.0
99,ARHGEF12,0.1324636701665997,0.349579219660903
100,ARNT,0.6543685929630989,1.4377947550954417
101,ARRB1,0.1231106628013799,0.17066761763528523
102,ARRB2,0.17415089839434,0.33888200065264684
103,ASPH,0.057951445065,0.16418880746549877
104,ATF2,0.8763879896371988,2.017957920617634
105,ATF4,0.9461012195979988,5.320889821644337
106,ATF6B,0.4505556245959997,1.517154075879061
107,ATG12,0.0870539048901999,0.22974024577211163
108,ATG16L1,0.0953288021509999,0.20945878701419884
109,ATG5,0.0867967180979999,0.19985682921326106
110,ATM,0.009882360213088,0.01923018503526837
111,ATP1A1,0.3948135096935999,1.9395825173508618
112,ATP1A2,0.1897914464149999,0.0
113,ATP1A3,0.2003076257599998,0.0
114,ATP1A4,0.2359726605407999,0.0
115,ATP1B1,0.3288981707625998,1.4977617795254918
116,ATP1B2,0.1917633220369999,0.0
117,ATP1B3,0.2688016575379999,0.9847714429722924
118,ATP2A1,0.0339785748529998,0.04710430671760374
119,ATP2A2,0.0415265138979999,0.14643745933483124
120,ATP2A3,0.0592248182429998,0.12315454735293156
121,ATP2B1,0.0441033485183399,0.08582115348916122
122,ATP2B2,0.0468795671786,0.0
123,ATP2B4,0.0812930057093258,0.05634801770666271
124,ATP6V1A,0.13317172975,0.46153804503251744
125,ATP6V1B1,0.1178831450769999,0.0
126,ATP6V1B2,0.0288182862949997,0.08164835328382553
127,ATP6V1C1,0.0045723397799999,0.014717793980924864
128,ATP6V1C2,0.0024735527509999,0.0
129,ATP6V1D,0.083713712636,0.27895121080919016
130,ATP6V1E1,7.155829500000001e-05,0.00028931385532382877
131,ATP6V1E2,0.0002398587542,0.00016625741920635092
132,ATP6V1F,0.023483966151,0.09615144910975472
133,ATP6V1G1,0.0148227790359998,0.07345912941545255
134,ATP6V1G2,0.0544399051294,0.0
135,ATP6V1G3,0.0192090052069999,0.0
136,ATP6V1H,0.047274356465,0.12475973693180273
137,ATR,0.099539743915,0.20698707854502366
138,ATXN1,0.004834695242,0.009407882538997233
139,ATXN1L,0.0511134878659998,0.09946225479206461
140,AVP,0.2435100686592,0.0
141,AVPR1A,0.1796094013622599,0.0
142,AVPR1B,0.0903745662067199,0.0
143,AXIN1,0.2385065216209999,0.4273463185870724
144,AXIN2,0.2134119093095999,0.5632062634906865
145,AZI2,0.011807411003,0.022976160904805074
146,BAD,0.2486239201183999,0.48379980945631185
147,BAG4,0.018815897272,0.026084372287584732
148,BAMBI,0.20965196606,0.8243149741057584
149,BAX,0.65845405011,1.90317699031029
150,BBC3,0.121484546206,0.23639801141563455
151,BCAR1,0.0398766745817999,0.07759642577930047
152,BCL10,0.3150489211589996,0.6922332326338148
153,BCL2,6.49097372342,0.0
154,BCL2A1,0.0145912399419998,0.0
155,BCL2L1,0.3034684301839997,1.3621594327894198
156,BCL2L11,0.000177835771,0.00048158819541971657
157,BCL3,0.0967754846487999,0.10631873667698358
158,BCL6,0.0423655044869,0.04654326384493228
159,BDKRB1,0.003917135951,0.0043034136921522425
160,BDKRB2,0.0511891788203998,0.09171869587345953
161,BDNF,0.6762219957145997,0.0
162,BECN1,0.11908469175,0.3784575607518919
163,BID,0.046157981569,0.11469827534160006
164,BIRC2,0.2636391721151895,0.7620152173568697
165,BIRC3,0.0951503104254397,0.1704864697047705
166,BIRC5,0.1128417636535999,0.15643190065180895
167,BLNK,0.0234865582719999,0.0
168,BMP2,0.0574799675913997,0.0
169,BMP4,0.0549443549155999,0.23497866109873936
170,BMP5,0.0447816297895998,0.0
171,BMP6,0.0990767454699998,0.0
172,BMP7,0.10511967717628,0.35028026239496163
173,BMP8A,0.042320692535,0.0
174,BMP8B,0.0175344222653999,0.0
175,BMPR1A,0.3158767841395998,0.3470261167607282
176,BMPR1B,0.2459209856266957,0.0
177,BMPR2,0.3143017364193594,0.43571472488834806
178,BNIP3,0.0073102420059999,0.0
179,BOC,0.035517191836,0.0
180,BORCS8-MEF2B,0.0847869403939998,0.0
181,BRAF,0.0214817802568519,0.03457359157195579
182,BRAP,0.0721247087426,0.15847418268245725
183,BRCA1,0.027381056392,0.04906026706783336
184,BTC,0.0074510844039999,0.01199205772854388
185,BTRC,0.0608491486099998,0.10902703821643228
186,CAB39,0.1440581577797997,0.4637053214524461
187,CAB39L,0.1608315012443998,0.2588483156164292
188,CACNA1C,0.0838170778573998,0.058097571199630084
189,CACNA1D,0.1731075443131,0.19017807544353102
190,CACNA1S,0.1077371792542159,0.0
191,CACNA2D1,0.007626220315,0.0
192,CACNA2D2,1.4311659000000002e-05,0.0
193,CACNA2D3,1.4311659000000002e-05,0.0
194,CACNA2D4,0.046550508144,0.11567366723803606
195,CACNB1,1.4311659000000002e-05,9.920086084985367e-06
196,CACNB2,1.4311659000000002e-05,0.0
197,CACNB3,1.4311659000000002e-05,9.920086084985367e-06
198,CACNB4,1.4311659000000002e-05,0.0
199,CACNG1,1.4311659000000002e-05,0.0
200,CACNG2,1.4311659000000002e-05,0.0
201,CACNG3,0.014523457515,0.0
202,CACNG4,1.4311659000000002e-05,0.0
203,CACNG5,0.033031406144,0.0
204,CACNG6,1.4311659000000002e-05,0.0
205,CACNG7,1.4311659000000002e-05,0.0
206,CACNG8,1.4311659000000002e-05,0.0
207,CACYBP,0.013173971263,0.035675775528081884
208,CALM1,0.4764357932396538,1.4938616739645507
209,CALM2,0.7234733908617996,3.2474089747557096
210,CALM3,0.3820335417707995,1.4279151622419075
211,CALML3,0.5475911358406,0.6015903510002114
212,CALML4,0.6719687411202002,0.9315464766637651
