src,dest,conv_bind_weight
256,292,0.116184982
256,298,0.135285358
257,299,0.1580326172
257,448,0.1000655494
257,2003,0.1101996312
258,300,0.1006832608647999
259,298,0.10375737505084
259,445,0.10079661050972
260,297,0.1254149868
260,445,0.14610045
262,295,0.1336503363316
264,296,0.130001662
264,449,0.206652448
265,445,0.19592892319728
265,2003,0.12610086712048
266,295,0.11680816
267,298,0.1611517644
267,431,0.1417878102647999
268,298,0.10771346
269,296,0.136628394
269,298,0.1108116013999999
269,300,0.102054946
269,447,0.12337981
270,292,0.11228777
270,294,0.118638086
271,293,0.1731579919999999
271,294,0.10780818
271,301,0.117878766
271,448,0.168594746
272,300,0.1033870498932
273,431,0.15680016026669
273,447,0.108157676547916
273,448,0.1181739744214
273,449,0.1302923402531119
274,449,0.100286494470792
274,2003,0.143918438470792
275,2003,0.1040398586372
277,293,0.115822058759692
278,295,0.10159692298966
278,301,0.1222742536312
278,449,0.118632422794
279,294,0.1004607702970679
279,296,0.14283071092656
279,299,0.131094006377835
280,449,0.1157540419999999
293,714,0.1706766488
295,714,0.1046778599999999
297,714,0.104290516
298,714,0.134583106
299,714,0.1020882426
303,1397,0.121114701356
306,657,0.143812163
319,1071,0.10374327604
323,1162,0.104961201428
323,1533,0.1241160942599999
326,288,0.112847822
328,289,0.105897706
330,328,0.12159622
335,1072,0.1071825137599999
335,1556,0.159659817
336,1988,0.214805626
339,698,0.136403954
340,960,0.12384289
340,961,0.133615612
345,1110,0.1354759526
346,725,0.1309073086
346,730,0.1096071
346,1107,0.1340486594
346,1108,0.124824334
349,876,0.1478721807
351,1812,0.11073039162
353,602,0.1271403626246
357,1830,0.13937555334
359,713,0.1021265369715999
360,889,0.13745467687132
360,915,0.14048074780096
360,920,0.1019628334696
360,1083,0.10327453335028
362,963,0.10747646
363,963,0.129175868
363,976,0.12505157
364,959,0.107787568
364,967,0.13036001
364,968,0.16184276713554
364,975,0.102311194
366,965,0.128756802
367,974,0.1014848963552
367,979,0.1471627999999999
368,965,0.116491652
368,972,0.1398600039999999
368,978,0.10582984
369,966,0.1931192199999999
370,959,0.124531166
370,967,0.12171087
373,957,0.107445452
373,966,0.1078166847999999
373,979,0.163721952
374,975,0.1823957546
375,960,0.104398328
376,958,0.13197204594
376,968,0.14984517
377,968,0.141098858
377,972,0.12830942
378,968,0.135958256
378,972,0.104922474
378,979,0.106500648
384,153,0.1954745376
384,388,0.1237883687399999
384,390,0.10332008466
384,1465,0.15467164802
385,389,0.166716686424
385,668,0.165904277434
385,1969,0.110566612586
386,380,0.151308825244
386,668,0.10857875546
387,669,0.1038976122759999
388,153,0.11069153788
388,394,0.138459349478
389,105,0.1278983508599999
389,394,0.1212104618079999
389,1344,0.102019579224
389,1969,0.142888389586
389,1970,0.1019390074
390,153,0.1222139082
391,153,0.1348102478
391,387,0.108073011628
391,562,0.169022988264
391,1078,0.146355105556
391,1254,0.1588584671
